date,open,high,low,close,volume,ma5,volatility,frets_pred,timegnn_pred,ensemble_pred,risk_level
2026-03-22,102.39,103.2,100.9,101.58,1015628,100.39,2.09,100.86,102.51,101.69,低
2026-03-23,102.1,102.92,101.27,101.81,1048789,100.86,2.13,101.0,102.68,101.84,低
2026-03-24,101.01,102.57,99.87,101.97,1081931,101.31,1.46,101.8,101.82,101.81,低
2026-03-25,101.54,102.3,100.83,101.26,1146043,101.46,1.27,101.19,102.22,101.7,低
2026-03-26,101.51,101.88,99.54,100.07,1073549,101.34,1.9,100.29,100.85,100.57,低
2026-03-27,101.25,101.74,100.52,101.21,1082310,101.26,1.9,101.2,101.9,101.55,低
2026-03-28,103.13,103.49,101.41,102.25,1073884,101.35,2.18,103.16,101.98,102.57,低
2026-03-29,102.28,103.16,100.54,101.97,1055230,101.35,2.18,103.24,102.11,102.67,中
2026-03-30,101.39,102.76,100.95,101.66,1113305,101.43,2.18,102.32,102.12,102.22,低
2026-03-31,101.08,102.99,100.24,102.0,1141883,101.82,1.04,102.45,101.69,102.07,低
2026-04-01,103.52,104.13,103.28,103.67,953292,102.31,2.01,104.71,103.62,104.16,低
2026-04-02,102.44,103.53,102.15,102.51,993795,102.36,2.01,102.69,102.7,102.69,低
2026-04-03,104.29,105.09,103.31,104.07,1009135,102.78,2.41,104.3,103.65,103.97,低
2026-04-04,102.86,103.96,101.78,102.24,1021242,102.9,2.07,103.0,101.81,102.41,低
2026-04-05,103.94,104.45,102.66,103.59,946733,103.22,1.83,104.08,103.26,103.67,低
2026-04-06,104.04,105.26,103.61,104.7,918676,103.42,2.46,105.11,104.36,104.73,低
2026-04-07,103.51,104.53,103.06,103.59,967608,103.64,2.46,104.63,103.53,104.08,低
2026-04-08,104.38,104.93,103.87,104.57,1019084,103.74,2.46,106.04,104.46,105.25,中
2026-04-09,104.45,105.42,103.26,103.95,958218,104.08,1.11,104.54,104.16,104.35,低
2026-04-10,104.1,105.25,103.37,104.16,821559,104.19,1.11,105.58,103.59,104.59,低
2026-04-11,105.98,107.39,105.2,106.39,993313,104.53,2.8,106.85,105.37,106.11,低
2026-04-12,104.82,105.23,103.88,104.9,931495,104.79,2.44,105.51,104.83,105.17,低
2026-04-13,107.79,108.51,106.71,107.51,805256,105.38,3.56,108.03,107.08,107.56,低
2026-04-14,108.71,109.67,107.99,108.52,799118,106.3,4.36,108.75,107.78,108.27,中
2026-04-15,106.94,109.53,105.63,107.46,897430,106.96,3.62,108.46,106.76,107.61,低
2026-04-16,108.86,109.43,107.59,108.33,754022,107.34,3.62,108.16,107.36,107.76,低
2026-04-17,108.11,109.43,107.48,108.73,814175,108.11,1.27,109.05,108.22,108.63,低
2026-04-18,108.75,109.98,108.61,108.85,836918,108.38,1.39,109.61,107.71,108.66,低
2026-04-19,108.75,109.67,106.94,108.14,858291,108.3,1.39,108.25,108.18,108.22,低
2026-04-20,108.64,110.45,107.98,109.39,795727,108.69,1.25,109.72,108.69,109.2,低
2026-04-21,108.1,109.77,106.76,108.73,729941,108.77,1.25,108.62,107.73,108.18,低
2026-04-22,110.18,111.28,109.6,110.15,806022,109.05,2.01,109.66,109.3,109.48,中
2026-04-23,108.09,108.61,107.49,108.21,783370,108.92,2.01,107.78,107.62,107.7,低
2026-04-24,109.21,110.21,108.71,109.14,767176,109.12,1.94,109.32,109.26,109.29,低
2026-04-25,108.37,109.03,107.87,108.47,758767,108.94,1.94,108.88,108.73,108.81,低
2026-04-26,107.34,107.96,107.12,107.4,754347,108.67,2.75,106.44,107.4,106.92,低
2026-04-27,107.83,108.64,106.68,107.31,843852,108.11,1.83,107.21,107.48,107.34,低
2026-04-28,107.54,108.45,107.46,107.52,822867,107.97,1.83,107.77,107.62,107.69,低
2026-04-29,106.89,108.44,106.47,107.5,817593,107.64,1.16,106.63,106.98,106.81,中
2026-04-30,106.08,107.11,104.87,106.12,829113,107.17,1.4,105.02,107.23,106.12,低
2026-05-01,105.24,106.32,104.54,105.04,748403,106.7,2.48,104.63,104.45,104.54,低
2026-05-02,105.09,106.36,103.58,104.38,885291,106.11,3.14,103.52,104.81,104.16,低
2026-05-03,104.17,106.31,103.4,105.3,875536,105.67,3.12,104.57,105.83,105.2,低
2026-05-04,102.53,102.74,101.68,102.58,866832,104.68,3.54,101.82,103.24,102.53,低
2026-05-05,103.23,103.54,102.29,103.12,925890,104.08,2.72,102.65,103.9,103.28,低
2026-05-06,102.29,104.07,101.66,103.27,981317,103.73,2.72,102.05,105.04,103.55,低
2026-05-07,102.43,103.91,101.79,102.44,963576,103.34,2.86,101.06,103.18,102.12,低
2026-05-08,101.7,102.35,100.87,101.91,992859,102.66,1.36,100.65,103.14,101.9,低
2026-05-09,102.16,103.16,101.73,102.39,981938,102.63,1.36,101.33,101.7,101.52,中
2026-05-10,101.27,104.13,100.75,102.69,878578,102.54,1.36,101.78,102.52,102.15,低
2026-05-11,99.83,101.2,99.18,100.7,929234,102.03,1.99,100.15,101.2,100.68,低
2026-05-12,101.61,102.27,100.76,101.47,941653,101.83,1.99,101.07,102.64,101.85,低
2026-05-13,102.15,102.93,101.3,101.93,926403,101.84,1.99,101.94,101.66,101.8,低
2026-05-14,100.95,102.02,100.66,101.01,1016399,101.56,1.99,100.83,101.38,101.1,低
2026-05-15,102.58,104.39,101.84,103.08,928180,101.64,2.38,102.69,103.38,103.03,低
2026-05-16,102.56,103.22,101.2,101.93,1066153,101.88,2.07,102.04,102.34,102.19,低
2026-05-17,100.62,102.23,100.17,101.5,1041950,101.89,2.07,100.31,102.02,101.16,低
2026-05-18,104.22,104.83,102.65,103.06,964345,102.12,2.07,102.74,104.74,103.74,中
2026-05-19,102.64,103.91,102.26,103.46,1066035,102.61,1.96,102.3,103.81,103.06,低
2026-05-20,102.02,103.18,100.97,102.14,1110458,102.42,1.96,101.66,101.66,101.66,低
2026-05-21,101.56,102.45,100.89,102.42,1019056,102.52,1.96,102.07,103.02,102.54,低
2026-05-22,103.11,103.81,102.15,103.08,1001198,102.83,1.32,102.48,102.1,102.29,中
2026-05-23,102.23,103.18,101.53,102.63,969387,102.75,1.32,102.22,103.07,102.64,低
2026-05-24,100.08,101.56,99.19,101.01,1094764,102.26,2.07,100.62,100.02,100.32,中
2026-05-25,101.19,103.15,100.69,102.18,1107547,102.26,2.07,102.11,101.98,102.05,低
2026-05-26,101.26,102.79,100.75,101.92,957441,102.16,2.07,102.43,101.1,101.77,低
2026-05-27,101.7,102.87,99.81,101.18,1090446,101.78,1.62,101.38,100.9,101.14,低
2026-05-28,100.28,100.8,98.97,100.02,958828,101.26,2.16,100.41,100.69,100.55,低
2026-05-29,99.43,100.23,99.4,100.06,1020403,101.07,2.16,100.58,100.51,100.55,低
2026-05-30,98.79,100.13,98.41,99.32,993721,100.5,2.6,99.05,98.93,98.99,低
2026-05-31,100.72,101.71,99.61,100.44,1004035,100.2,1.86,100.61,100.3,100.45,低
2026-06-01,98.92,101.29,98.16,100.27,992837,100.02,1.12,100.55,100.12,100.34,低
2026-06-02,99.88,101.0,99.1,100.38,1060971,100.09,1.12,101.94,100.08,101.01,低
2026-06-03,100.62,101.67,99.95,101.26,909453,100.33,1.94,101.24,100.89,101.06,低
2026-06-04,98.99,100.18,97.5,98.16,910189,100.1,3.1,98.31,98.26,98.28,低
2026-06-05,98.02,98.74,96.91,98.32,863093,99.68,3.1,98.28,97.34,97.81,低
2026-06-06,101.1,102.13,100.57,100.87,843998,99.8,3.1,102.12,99.86,100.99,低
2026-06-07,100.48,101.64,99.28,100.11,891023,99.74,3.1,100.91,99.89,100.4,低
2026-06-08,99.99,100.63,99.09,100.43,944408,99.58,2.71,100.82,100.87,100.84,低
2026-06-09,101.39,102.09,100.62,101.01,926202,100.15,2.69,101.35,100.66,101.0,低
2026-06-10,102.56,104.15,101.59,103.43,886402,101.17,3.32,104.92,102.46,103.69,低
2026-06-11,105.5,106.22,103.99,104.84,750835,101.96,4.73,105.55,105.23,105.39,中
2026-06-12,103.77,104.85,103.09,104.04,775220,102.75,4.41,104.72,104.35,104.53,中
2026-06-13,105.04,106.43,104.33,105.21,879419,103.71,4.2,105.69,105.06,105.38,中
2026-06-14,106.09,106.87,105.72,106.52,772019,104.81,3.09,107.41,105.96,106.69,低
2026-06-15,107.6,108.56,106.72,107.11,821361,105.54,3.07,108.19,106.44,107.31,低
2026-06-16,104.66,105.48,104.01,104.97,727557,105.57,3.07,105.29,105.18,105.24,低
2026-06-17,108.25,108.92,107.09,107.63,742585,106.29,2.66,108.49,108.08,108.28,中
2026-06-18,109.24,110.34,107.46,108.41,700570,106.93,3.44,108.36,109.0,108.68,低
2026-06-19,107.78,110.09,107.13,109.08,836641,107.44,4.11,108.45,109.93,109.19,中
2026-06-20,108.72,109.8,107.73,108.97,748081,107.81,4.11,109.13,109.35,109.24,中
2026-06-21,111.34,111.81,109.07,110.24,734833,108.87,2.61,110.84,109.61,110.22,低
2026-06-22,109.2,110.33,108.15,109.4,784098,109.22,1.83,110.5,109.74,110.12,中
2026-06-23,107.94,110.07,106.88,108.64,702207,109.27,1.6,109.25,109.57,109.41,中
2026-06-24,111.18,112.14,110.28,111.12,738019,109.67,2.48,109.88,111.88,110.88,低
2026-06-25,109.95,111.48,109.18,110.52,710648,109.98,2.48,110.71,112.01,111.36,中
2026-06-26,108.91,109.58,108.08,109.07,833144,109.75,2.48,108.64,109.55,109.09,低
2026-06-27,107.08,109.34,106.61,107.72,801035,109.41,3.4,107.25,108.61,107.93,低
2026-06-28,110.31,111.06,109.65,110.09,809069,109.7,3.4,109.83,111.18,110.5,低
2026-06-29,108.9,109.8,107.64,109.06,849897,109.29,2.8,108.68,109.55,109.12,低
2026-06-30,110.74,111.2,108.56,109.17,906849,109.02,2.37,109.11,109.42,109.27,低
2026-07-01,107.78,108.84,107.16,108.24,870151,108.86,2.37,107.29,108.96,108.12,低
2026-07-02,109.81,110.3,109.28,110.02,882889,109.32,1.85,110.0,111.12,110.56,低
2026-07-03,109.07,110.49,108.44,108.96,843441,109.09,1.78,108.86,109.96,109.41,低
2026-07-04,108.02,108.69,106.68,107.97,928940,108.87,2.05,107.35,108.33,107.84,低
2026-07-05,109.62,110.2,108.87,109.33,848866,108.9,2.05,108.54,109.85,109.19,低
2026-07-06,108.67,110.1,107.45,109.26,876987,109.11,2.05,108.67,108.6,108.63,低
2026-07-07,108.81,109.8,107.17,109.61,1058735,109.03,1.64,108.75,109.25,109.0,低
2026-07-08,110.04,111.16,109.05,110.4,930817,109.31,2.43,109.75,110.09,109.92,低
2026-07-09,107.84,108.92,106.97,108.5,1032350,109.42,1.9,107.76,108.1,107.93,低
2026-07-10,108.85,110.75,108.51,109.42,1045015,109.44,1.9,109.39,109.79,109.59,低
2026-07-11,107.72,108.03,106.53,107.91,1100379,109.17,2.49,107.41,107.74,107.57,低
2026-07-12,109.43,109.72,108.79,109.3,937444,109.11,2.49,107.97,108.49,108.23,中
2026-07-13,111.24,112.29,109.99,110.68,1049608,109.16,2.77,108.87,109.75,109.31,高
